1000th Video!!!|JFWchElNxHA
Elevator in Blender 3d Game Engine - Blender 2.5|JOVMqD1sXAs
Embeding Images into Shell Scripts - Linux - BASH|Sy5Xf1Hzr2o
Ember Lynn 4D Ultra Sound - Edited - June 30th 2012|Lhu1cMogpOE
Ember Plays with Her Computer   Febuary 2014|OTnquk6tTYA
Empathy Records|F2ZV3dkkIQc
Encrypt a Partition with luksformat in Linux - BASH|9W4ZGWNADEs
Encrypt a file with gpg - BASH - Linux|T0duUXxnVpg
Encrypting Files with OpenSSL- BASH - Linux|m4_pR7SJfh0
Encrypting Images with ImageMagick   BASH   Linux|_YFHyaFNg_U
Ettercap and Driftnet - capture network images|qjKL9cw92RY
Ettercap and Wireshark - HTTP Objects|1kVCOXscVmM
Ettercap and urlsnarf - See where people are browsing in real time-1.ogv|RLh09OKyTgQ
Example Web App - JQuery Mobile and PHP - Shopping List|clzmEsHaeAM
Excel to CSV with xls2csv - BASH - Linux|qCpM7BJ1aik
Extracting CPIO files on Linux initrd gz tutorial|SZo6nQZV1bE
Extracting LZMA Files on Linux initrd CPIO|joOUG8an1O0
Extracting SQUASHFS files on Linux initrd.gz tutorial|1mMXzgzHeE4
Eye of the Tiger - Cover|U_Uwn_TZ918
FFMPEG - Letterboxing and colors|RmcDaHT4P7g
FFMPEG - Presets|W8iphILUElM
FFMPEG - Resizing and Aspect|hLCNqx_MJtM
FFMPEG - Spliting Videos|DqsP-62Bi_Y
FFMPEG - Volume Control|fJ7kgD-a504
FFMPEG - WGET - MD5 HASH - XVID and More|VreicyZ4ys0
FFMPEG - Working with Audio|e7i2Jn9h6BQ
FFMPEG basics|1D5j3jMMqqA
FOSS Musicans|vB96gpffNew
FOSSETCON - Orlando 2014 - Day 1|Gd1AIb-4oDg
FOSSETCON - Orlando 2014 - Day 2|95kH7gpXRwY
FOSSETCON HTML5 Game Development talk by Kris Occhipinti   2014 a|qzAg-Vh8jDg
Failed Shaving Cream Experiment|AEwRpjMYcjI
Fake Windows Virus Protection|AbfNea5GQKU
Fake Your Caller ID on the Nokia N900 - BASH - Linux|dUXZoC4NwUw
Fat Frog's Halloween High|Wiv081e3-qM
Fight in the Cold - Original Music By Kris Occhipinti|jAFDRlDAMho
File String Substitution without SED - BASH - Linux.avi|yRkAKdGa-TM
Films By Kris - Amazon|DYFp9zZl0C4
Films By Kris Logo Outro - Blender 3D - Linux|u5uEBTFN3Ro
Find Console Width in BASH with system Variables|BiJJ4Z_q4ps
Find File and Execute Command - BASH-1|nyTCX3VKQnk
Find Gnome-Terminal Size - BASH|bMdjMonmqGI
Find How Many Characters Wide your Shell Console is with TPUT - BASH|2UH8m3Oa6Aw
Find Info on Partitions with File - Linux Shell Tutorial|elKf0yntRFc
Find all computers on a specific subnet - BASH - Linux|W5lIaYY_3Wo
Find all local IPs and MAC Address with arp-scan|oou6qKXMMG0
Find by File Size in BASH|0NPNRQNny98
Find if a Program is installed with a Script - BASH - Linux|jtfqscjnnkI
Find the Decimal - Octal - Hex values of ASCII keys - BASH -Linux|_oLqHjb_58k
Finding some words and not other with GREP or AWK - BASH - Linux|WASzwAOpolg
Fire Story|Sb8PDM0-aNk
Fire and Guns - Intro 2011|3kju7qe4Jfw
Fire prez|Is-5INcduug
First Look at Blender 2.6 - Linux|5Pu2iOCn4kQ
First Look at TweenJS Animations with JavaScript Tutorial|fGoAj2_xwy8
Fix Clock Window in Gnome - Linux Mint 10|-i545AdjYNQ
Fizz Buzz Test in BASH - Linux|fIhFHFFEHtk
Flag in the Wind - Blender 3D - Cloth|hF8WILhC68A
Flip Text Files with rev - Linux - BASH|AUB1nAbpjh4
Florida Linux Show - Edited in Blender 3D|-yzNYZdvluY
Florida Linux Show 2009 - Editing Cinelerra Part #1|5oN1THONPps
Florida Linux Show 2009 - Editing Cinelerra Part #2|VVGHZ-XlWZw
Florida Linux Show 2009|a5wt69HjsAA
Force Password change on Next Login - BASH - Linux|sBODrBhQuVY
Formatting XML and HTML with XMLLINT - Linux - Shell Script - BASH|_vjrTCFeFhk
Forums|PyLbEnxUvvg
Forward Shift - Original Music by Kris Occhipinti|j1A4PiHz5a8
Found and Lost - Original Music by Kris Occhipinti|br-Mca6DAII
FreeBirth|I2uGq4KGVj8
Full String Policy - Original Music By Kris Occhipinti|W2vM717CZIo
Fun with a Scanner|_I355jVyy8I
Functions and Case Statements together - BASH - Linux|clWeiCV_Emg
Functions in BASH - Linux|WL644gTWGcQ
Fyre Rendering|4Ad0wknQvM0
GTK Number Pad Getting Fake Caller ID Number PartA - Python - Linux|2fPpWEcMXGU
GTK Number Pad Getting Fake Caller ID Number PartB - Python - Linux|4RCIpCHVvrg
GTK Number Pad for Nokia N900 Fake Caller ID Number - Python - Linux|ZdHS9PRKb1w
GTK Number Pad with Functionality - Python - Linux|icCPY_PvKag
GUI in a Chrooting Environment - Linux|S0fB7cO8tL4
GUI to confirm Pop-Up - BASH|lvYrhodJs0g
Game in Minutes - 1 - Blender 3D|akqPnv9IqVc
Get Mouse Location with xdotool|35bh13zn_os
Get NIN Music from the Social Network|fVg1DLox3Jw
Get System Command Output - Python - Linux|HK87fjLLitU
Get User Password Input without Displaying it On Screen - BASH - Linux|ZpfIR_VVsZY
Get it Back - Original Music By Kris Occhipinti|XG6bIwxQhs4
Getting Web Page Source with urllib in Python - Linux|m7y3IkLwQJk
Gift for my wife.|E6WP7FY4y7E
Give me a Call|3vWeWfL8he8
Golden Statement - Original Music By Kris Occhipinti|1-JXv6DLTIQ
Google Music - Les Paul - BASH - XTE - Xautomation - Linux|bOEPZseypMg
Google Picasa vs. GIMP|9Vk2B00wgIw
Google+ Hangout Video#1|_71D7ctNfYg
Grab Title from Page of Link - BASH - Linux|TAl_fvegqmI
Grep and Regex - BASH - Linux|aZGUBSQDAdI
Greping for Tabs  Linux Shell Tutorial - BASH|Az9MVRCbcO8
Grepping for Tabs Linux Shell Tutorial - BASH|Az9MVRCbcO8
HTML Editing with Epiphany-Browser - Linux|p9ojkp13K0s
HTML and Python with GTK and Webkit - Linux Tutorial|j8OE0aTOfvQ
HTML5 3D Basic Mesh Material with Threejs Linux Tutorial|8w0zgGoVyOI
HTML5 3D Detect WebGL or Canvas tutorial|mpw84kaq3E4
HTML5 3D with Threejs Create a Plane Linux Tutorial|4Yf_UibFXUs
HTML5 3D with Threejs Create a Plane Linux Tutorial|jU9UABZSAoc
HTML5 Canvas   Line Basics   Web Development   Linux|dJml0wXimOA
HTML5 Canvas Arc Basics Web Development Linux|ny4P9DC4q4s
HTML5 Canvas Arch Basics   Web Development   Linux|ny4P9DC4q4s
HTML5 Canvas Circle and Semicircle   Web Development   Linux|Ex8Hkwznqa0
HTML5 Canvas Curve Basics   Web Development   Linux|7BFs3qbGW74
HTML5 Canvas Image Size and Crop Basic Web Development Linux|hwIh_SVOWEs
HTML5 Canvas Line Joints   Web Development   Linux Box|swph5sby0X0
HTML5 Canvas Linear Gradient Fill   Web Development   Linux|44uf_ECrc7I
HTML5 Canvas Load Image Basic Web Development Linux|lWYTT7tIYJs
HTML5 Canvas Load Multiple Images Basic Web Development Linux|1flTFHsNI4w
HTML5 Canvas Paths Basics   Web Development   Linux Box|JYruGDZMlxw
HTML5 Canvas Radial Gradient Fill   Web Development   Linux|oBzZ-4yyzGY
HTML5 Canvas Rectangle Square Basics   Web Development   Linux Box|RHYnxnoir4k
HTML5 Cloud File Server with Apache Index on Linux|B2PEtJTuvmA
HTML5 Compatiablity   Old Browser Hardware   Linux   Tutorials|vSkG49CFRf0
HTML5 First Person Shooter Project Metal Bullets   Quick Overview of Development|U1uMImsC_c4
HTML5 First Person Shooter Project Metal Bullets - First Look|NiQdsw_xzZE
HTML5 Part#1 - Video - Linux|nree2nki94U
Halloween 2009 - Video Editing - Part#1 - Blender 3D|lVt1H41jNm0
Halloween 2009 - Video Editing - Part#2 - Blender 3D|RnyUwuaHgb0
Halloween 2009 - Video Editing - Part#3 - Blender 3D|ljYRmvUx3G8
Halloween 2009 - Video Editing - Part#4 - Kdenlive|XK1jUU2P3S8
Halloween 2009 - Video Editing - Part#5 - Kdenlive|5YDW4XuVbOo
Halloween 2009|1spA8kvfigs
Hardware Pop-ups in Linux with BASH|8Y7bzX7gFVQ
Hardware Project Update   Feb 2014|SpH35kmkaZk
Heading Out - Original Music By Kris Occhipinti|RKd8nGTmKbs
Help me Help you|v-tofQlM3L8
Hiba-Tos - Original Music By Kris Occhipinti|ADvbzHbOm7Q
Holding Packages with Aptitude|cXOaI8Vwo0Q
HolidayUponUs - Original Music By Kris Occhipinti|qi5wYiGj5H0
Horizontal Lines in the Terminal with Printf - BASH - Linux|ecbRFFGI5EQ
How Do You Feel About Richard Stallman|WIZGnr0ukJM
How I made my Linux Journal TechTip Intro video in Blender 3D - Part#1|EhGde5cNH_E
How I made my Linux Journal TechTip Intro video in Blender 3D - Part#2|rI47cIW5wrA
How Many Monitors are too many?|e5wPXVG_ra4
How do I know what is installed - Linux - BASH|WdTCLBc2CNs
How is My Sound Now?|zKVYaMRbq5U
How to Chroot on Linux   Basic Tutorial|N87m6fxO5a8
How to Upload to www.BASHscripts.info|uODQx2wRJ4I
How to download and convert videos|8VIKho9S9j8
How to run a Script on your Desktop or N900|C4EkEiMit_M
How to use Gnome-Open - BASH - Linux|k6jLV1DCQ7U
Howlet - Original Music by Kris Occhipinti|xahFIvDyJdE
Hugin 360 Panorama with Canon Rebel T3i in Linux   Software Review|-ywaRZD8puU
Hydrogen Drum Machine - Website Video|r9H8gJtzz_s
Hydrogen Drum Machine Part-1|icCNosEm-dQ
Hydrogen Drum Machine Part-2|eiewQbtEvWM
Hydrogen Drum Machine Part-3|Vz66wT8ouXQ
Hydrogen Drum Machine Part-4|rreB7_5ryUE
I think HTML5 is a Great Thing   Open Source Software|QZHL5Eq1xak
I'm Back|GpKgysRY1w8
I'm Sick  :(|_6geHoMod_I
IRC  -- Would you like to Chat?|tvbHqncm40k
Ice and Snow - Original Music by Kris Occhipinti|C96asUD5PYw
Image Mapping for HTML sites - With GIMP|Kt8euR1EFeQ
Image to Text - OCR - Tesseract - Linux - Tutorial|6_aqncTWgkk
ImageStory - Sample|gCTkWeMtR7U
Imagemagick   Emboss and Image   Tutorial   BASH   Linux|VjN3yCRVaPg
Imagemagick   Saturation   Tutorial   BASH   Linux|FQTmljLgFkI
Imagemagick - Add Blur to an Image - Tutorial - BASH - Linux|8NbjwdfQMWw
Imagemagick - Black and White and Negative - Tutorial - BASH - Linux|2uYMHD0D2I4
Imagemagick - Brightness - Tutorial - BASH - Linux.avi|kBxAsy-8mrA
Imagemagick - Charcoal Effect - Tutorial - BASH - Linux|bwVSYEz1i34
Imagemagick - Edge Effect - Tutorial - BASH - Linux|JiREMILr7zE
Imagemagick - Image Border - Tutorial - BASH - Linux|crGen-msuD0
Imagemagick - Paint Effect - Tutorial - BASH - Linux|UiFjV2uwhDU
Imagemagick - Shade - Like Embossing - Tutorial - BASH - Linux|_oBXCQtwao0
Imagemagick - Solarize - Tutorial - BASH - Linux.avi|UQZDO8ru0WA
Imagemagick - Tint Image - Tutorial - BASH - Linux|GwP45PL9P44
Impatient - Original Music By Kris Occhipinti|vXY_f4Ov2kI
Import GIMP XCF Scene into Blender 2.5 - Blender 3D - Linux|fpi9gNjxWzM
Import Text Files into Blender 2.5   Blender 3D   Linux|BknKrIiDqbk
Importing 3ds files into Blender 3D|4jdAsx4d1EY
Incompetech 3D tutorial  Blender Part1|s07UCuhkwQ0
Incompetech_3D_tutorial_ Blender Part2|JPidn-vw-3U
Incompetech_3D_tutorial_ Blender_Part1|PQE7-5muS80
Incompetech_3D_tutorial_ Blender_Part2|HrQjlmn3VJQ
Indenting Text with printf in BASH - Linux|oueWQ-c4x88
Installing Debian on the N900|U6zNfBczub8
Installing Linux on Your Phone - Neo Freerunner|17kXCI96MLU
Installing Software in Linux Mint 10|97SUast9osk
Installing php|WEqRTOS0KZE
Intense - Original Music By Kris Occhipinti|DdSlpGtkGb8
Into to Mobile Fire Fighting Software|r2Nv60u5Fkk
Intro - Python in Blender Game Engine|EQKyoU3MEvo
Intro to Cross Platform Development  Desktop and Mobile - Android - iPhone - Windows - Linux|ATm7VN3IFx0
Intro to GTK and Python|MQteg3R8HBM
Intro to HTML5 3D|1j-4jFw3cLE
Intro to Mobile Fire Fighting Software|r2Nv60u5Fkk
Intro to Slitaz Tutorials|6YQrBgNGQrw
Intro to Toss Up Simulations in BASH C and JavaScript  Linux tutorials|fkMCowDrKjg
Invisible Objects in Blender Game Engine - Blender 3D - Linux|XeXWMBqLj0k
Is 1GB RAM 900Mhz Processor Enough for Gnome Compiz and Linux|Kwer60taOc4
It's a Baby!|HF50mgGjP1o
It's my Birthday!|bCAE2hf9F8I
JPEG to ASCII ART - jp2a - BASH - Linux|Pr3bPlkYcC4
JQuery Basics - Animations Part 1 - Tutorial #7|Ez_h9IJGl_M
JQuery Basics - Animations Part 2 - Tutorial #8|XRSHzwpkaxQ
JQuery Basics - Animations Part 3 - Tutorial #9|WC0EO7W5IF8
JQuery Basics - Animations Part 4 - Tutorial #10|OIUIjoDOz5Y
JQuery Basics - Fading Elements - Tutorial #3|hImKC6Ss9YQ
JQuery Basics - More on Fading Elements - Tutorial #4|u3Wk4gOgWRY
JQuery Basics - Sliding Elements - Tutorial #5|QhGerIfHqt0
JQuery Basics - Toggling Elements - Tutorial #6|mwMISqirY8s
JQuery Basics - Tutorial #1|p62Km90xFTE
JQuery Basics - Working With Tag ID - Tutorial #2|aBcrBoay2IA
JQuery Mobile and PHP to make Web App for Phone and Desktop - Shopping List|kSK43yW3kbU
Jack Rack - MIDI controler|MSD1csGHW40
Jack and PulseAudio Together as Friends - Linux|6J-RQudJx30
JavaScript  Toss Up Dice Game Simulator - Linux|p5trj803LbQ
JavaScript 360|Yg-F045AFgs
JavaScript Tutorial Part#1 - For Linux Users|MUJZt0cpYg4
JavaScript Tutorial Part#10 PopUp Boxes - For Linux Users|HAh9S-8uZeg
JavaScript Tutorial Part#11 IF Else Statments - For Linux Users|YhGmO8zAK_g
JavaScript Tutorial Part#2 Functions - For Linux Users|Ya87Rgo3yrs
JavaScript Tutorial Part#3 Elements - For Linux Users|bPPU_sqIQ1g
JavaScript Tutorial Part#4 Changing Images - For Linux Users|SiqUZLJWzAs
JavaScript Tutorial Part#5 Changing Images on Mouse Over - For Linux Users|GpSSf8E4RT0
JavaScript Tutorial Part#6 Basic Variables - For Linux Users|mIXSXH939E0
JavaScript Tutorial Part#7 More on Variables - For Linux Users|rjqigmjZW68
JavaScript Tutorial Part#8 Passing Variables  to Functions - For Linux Users|BcUZthxps_4
JavaScript Tutorial Part#9 For Loops - For Linux Users|lpF5fRmFkyw
Jello Cube - Blender 3D - Softbody|MUyyVkRx_p8
Jenn and Ross playing Trombone in Miami 2009|yFys-Mjezvc
Just The Wind - Original Music By Kris Occhipinti|EeVrNgKeulg
Just Youtube Subscriptions - No Comments and Highlights|KEPKNIWw0cA
Key Binding in BASH - Linux|EzIqCeGHRpM
Key Framing Lights in Blender 2.5 - Blender 3D|WP0JA_ykKFE
Keyboard shortcuts - BASH Quick Tip - Linux|ZGAWsMtT4j0
Kick Users Off Your System - Linux - Shell Script - BASH|bFRnJnfjXZ8
Knife Throwing FX Sound|aAX3h-MP6VQ
Kpartx Create IMG with Formatted Partitions on Linux  Tutorial|XUHXVr3_0SQ
Kris Cloned|p7PlDmKkJSc
LMMS - Automation Editor|nypecJL3cP0
LMMS - Synthesizers|boRmY9jH7fs
LMMS - Volumes and Fades|Ho9cZI-ZetI
LMMS FUN   Linux Multi Media Studio|gWgymUWv3HA
LMMS Tutorial - The Piano Roll|7ZHM__Q1bkE
Lambert Material with Shading and Lighting HTML5 3D Using Threejs Linux Tutorial|1TI6WTmvrwc
Lamp Pack1 - Blender 3D Models|2IccheQr9W0
Large Font Text Message - Nokia N900 - SQLite - Linux|nuxqK0E7jAA
Lauderdy - Original Music By Kris Occhipinti|jvut_J7ZFWM
Learn Bash Scripts - Tutorial|QGvvJO5UIs4
Lemonade Mouth #1 - Blender 3D|E1blfcCcB2A
LemonadeMouth Tutorial Part#1 - Blender 3D - Linux|InIqIgp5wMc
LemonadeMouth Tutorial Part#2 - Blender 3D - Linux|hU5JoEYFeFs
LemonadeMouth Tutorial Part#3 - Blender 3D - Linux|VuVX_w4oSL4
Lens Focus in Blender 2.5 - Blender 3D - Linux|8s8QFRokQ8k
Let Do Some Hardware Videos|wrsx7Shxa60
Let Work With File Systems, CPIO, LiveCD, Squashfs, IMG, and more|dn-ZL0AXCTQ
Let|dn-ZL0AXCTQ
Let|wrsx7Shxa60
Limit Output Width of Text File with FMT - BASH - Linux|HQfvqPE_XBY
Link an object from one scene to another in Blender 3D|DXSsyf8C-KY
Linking Buttons to Functions in Python and Qt4-designer - Linux|7Z--Q9EcT_U
Linking LMMS MIDI Tracks and Instruments to other LMMS inputs   linux tutorial|uxZcunifT6w
Linux - How to install Programs in Linux -synaptic|CihSZL6J3As
Linux Christmas Cards???|dhJ4zlJBOlY
Linux Computer in a car|ud5b8bcmj60
Linux Kernel and Initrd Basics Tutorial|boxF9t29xZQ
Linux Kiosk Intro|RAAW7c9FElQ
Linux Multi Media Studio - LMMS Part #1|-OK6YXDHrvU
Linux Multi Media Studio - LMMS Part #2|AJTGrIeAjoM
Linux Multi Media Studio - LMMS Part #3|JaTswyGEeQI
Linux Multi Media Studio - LMMS Part #4 Midi Controllers|2eyloKqnJIo
Linux Music Creating Loops with JackBeat|XpJzuFZ-OM4
Linux Phones Part 1|nKR1hq2gwnY
Linux Talk with Gabe #1|oNa2tyrwDzU
Linux Talk with Gabe #2|whQ426PrmMY
Linux Wii Guitar Hero and Zynaddsubfx|devUSxdZLrg
Linux Work Spaces|apH7j50uTS0
Linux and Apple Trailers|v5BTg5HfgSQ
Linux and the Wii Controller Part #1|wKtR28TBJSs
Linux and the Wii Controller Part #2|fhK-ElzKoJc
Linux and the Wii Controller Part #3|EFOpYgPCsF4
List All Partitions and Info - Linux - Shell Script - BASH|gNSFFRwHXhs
List All Your Harware with lshw - Linux - Shell Script - BASH|MRVkW-jeO3A
List BASH Shortcut Keys - bind - Linux - tutorial|WdEZSxXYiNE
List of Ports and Protocols  Linux System Tutorial - Shell - BASH|ZEYxTZL4JZQ
Listing Drives By Label - BASH - Linux|c3iotaKHh7g
Listing Files in Python - Linux|qc84jTeWoIA
Listing Files in Python - Revisited - Linux|bbUnw_gz_14
Live show #3|H6VhCU2rJUU
Live show soon|d0mx725VU6s
Load New Hydrogen Drumkits|Gs8bng56yNA
Local Station - Original Music By Kris Occhipinti|OipJiwSf65s
Lock your computer with your Bluetooth Phone - BASH|zkOK0V5oWaQ
Looping Piano Rolls in LMMS - Linux Audio and Music|Cj1Yuc3d48I
Lost Blender Game Engine Videos and New Microphone|HdwA-p-PnN4
Lost in The Dark - Original Music By Kris Occhipinti|SJAA_wkiLmA
Luminsiation - Original Music By Kris Occhipinti|xl_dMzZgyEM
MD5 HASH CRACK - WGET - BASH - Linux|jgKfFloSCkU
MIDI Controllers with Ardour - Linux|kS2xEp0mDt8
Make a Menu in BASH useing Case statements|7GvAJhcjNOs
Make a bootable Slax USB Flash Drive or CD|HhvipksLr44
Make you HTML5 Program a Desktop Program in Windows with HTA|Foxc7idJkyA
Matrix in your Shell - Linux|fIJksw1Tw1k
Maximise All Windows in Linux Automatically with Maximus|lz1V3VQubCM
Me FireFighting  :)|STy3vNE-uZk
Me Masked in Cinelerra - Split Screen|fT19n9aLuPs
Me at Pat|X8efB4ifJvA
MechanicalSwitch - Original Music By Kris Occhipinti|OCiYWLKi_jA
Medieval Times and New Python Scripts|sUvwx-myogo
Menus and Searching in Blender 2.5 - Blender 3D|nMRxETLinmg
Merry Christmas 2010|qujkl17NIiQ
Metal Bullets Blender 3D Render Fly Through June 2014|T31C59GnB-Y
Metal Bullets Game Play - May 2014|kRWvQ_f1t14
Metal Bullets Game Play 2   May 2014|uCDOaLwVTbE
Miles - Original Music By Kris Occhipinti|DK2K9BXM8_A
Miles Away - Original Music By Kris Occhipinti|M7iByEy_Zqw
Minions - Blender 3D - Speed Model|28TEOjpMqA0
Mint Logo - Blender 3D Models|we9hdfst2pE
Mintyboost|8YhY9j4262c
Mirror a Website with wget - Linux - BASH|nNZwJLI4WHo
Mirroring a Website with wget  revisited - Linux - BASH|a7ynQrf-jxA
Missed PyGame Tutorials|Hp4p0iPbLDA
Mistory - Original Music By Kris Occhipinti|IKRFjZkO5AM
Mobile Device App - Portal to Website - Android - iOS- Windows Mobile - Black Berry - Development -|8iSO2ZVYI-U
Modifying Interactive Command Prompt with PS1 and PS2 - BASH - Linux|toRrlBJBByM
Monitor_Hammer|cgDlVBtjE8Q
Monthly Topics - Your Thoughts|C7Ff-o5voLY
More Keys for Python Auto Complete - Linux|-HfpgnS9Vkw
More Python Games? How old Where you want you started Programing?|vfCxptF-Lj8
More Python Games? How old Where you want you started Programming?|vfCxptF-Lj8
More Q|t_G5Fj-7pQY
More TV-B-Gone|8L5RtPCU0ko
Mount Partitions within an IMG File on Linux PengPod|TzQqmsaF3eA
Mounting ISO Images Linux Tutorial|Tsyk6vLr91k
Mounting SSHFS in Nautilus - Gnome - Linux|tvyslako_60
Mouse Over Button Animation in Blender Game Engine - Blender 3D - Linux|AK0AsqrPzxQ
Mouse Wrap Around in Blender 2.57 - Blender 3D - Linux|5vakCR4HbJU
Move 3D Cursor to center in Blender 3D|ZxMqIfUYb6c
Moving 1|NDNYRrSGBTA
Mplayer on Android Through Chroot and Frame Buffer|7n_hDZ6kHjc
Multiboot USB drive - Linux|OmUtMGcxtDs
Multiboot USB drive How To - Linux|MH-khdiXqYs
Multiple  Windows with Python QT-Designer - Linux|bHsC6WJsK-U
Multipule Images into 1 with ImageMagick - BASH - Linux|eFGp9mZiASo
Multitail - Linux Shell|bJ-Uhc_rfeA
Music Intro - October 2011|-HIINoV7ueY
Music in My Videos|qnvxsIfOs2I
Muzzle Flash in Kdenlive - Linux|mjT4g5i_YCg
My MRI - Open-Source Viewing &amp; converting|1hOwghyYZ04
My Music|JMWCVDMtetU
My New Backyard Range|1pSKI7z8JP0
My Trip 2011|l9jUFqr0bwQ
My X-RAY|ESDTTG9un-0
MySQL - Add and Delete Columns - BASH - Linux|rtPR3NpEcS4
MySQL - Backup Database - Linux|A_xmZK5yNsU
MySQL - Change Data in Field - BASH - Linux|y1UQqjNj05s
MySQL - Delete ROWS - Linux.avi|2Kvqi1RMQOk
MySQL - Display Multiple Fields in Search- BASH - Linux|ZHsnUDupWQw
MySQL - Display in Order By - BASH - Linux|O_sHKqc80fY
MySQL - Export to CSV Text File - BASH - Linux|WUyhfqniOMg
MySQL - Importing Data From CSV - BASH - Linux|TTgdCltgkIU
MySQL - Inserting Data - BASH - Linux|qU8JlFcRpWE
MySQL - Installing and Creating DataBase - BASH - Linux|dyiPsRje5vo
MySQL - Restoring Database From Backup file - BASH|Yfr3HdAG5G0
MySQL - Reverse Search Database - BASH - Linux|_lMcaj0ldnw
MySQL - Search Database - BASH - Linux|ZDBmWdMiVHs
MySQL - Search Multipule Fields in Database - BASH - Linux|pMi2JdCiFe8
N900 - First Look|RM2Pbm1XQiI
N900 Linux in My Car|cKN6bc7OPZs
NCA 8th|srrPldOfLWk
NCA Group1|CNA6JtitwpI
NCA Group2|s2Rug_ZlkyA
NCA Groups 4 and 5|UniuOQlRvJg
NCA May 15th Extras|pxa4YtjPVRs
NMON  Performance Monitoring Tool for Linux Shell - BASH|hqwTlAaqx-E
Nana|u071TMCl1_4
Netbooting Linux with gPXE tutorial - Reupload|7PySeY381Rs
Netbooting Linux with gPXE tutorial|8067k9uFU8k
New Backyard|r62vMW-HoWY
New Blender 3D Intro - Blender 2.6 - Linux|eX7_D4Trg3Q
New Blender Videos - Nov 2011 - Batman and the Pumpkin|OPgqOOQJl4w
New Channels, Maybe|boPh3gv2Vdk
New ELM327 USB OBD2 Linux Videos|8-tFtv1JwLo
New Goats - December 10th 2011|C-amEx8iMiA
New Green Screen Test 1 - 2013|5Qu0BLLEEjc
New Mic Check - Cad u37|LeHj4LwfiA4
New Site - Films By Kris - www.FilmsByKris.com|Bh8z2qfwQYw
New Site|qup5D-X0swQ
New Video Intro - Viewers Help|nPkaA_oyyyI
News Jan 28th 2011|2ynas2669V0
News May 2011|imfTtnFLZfU
Night_Jump - Original Music By Kris Occhipinti|wR9ZJxmlsh0
No More Youtube Comments|TS32-Paq7-8
No Music Monday Today|yC36hh0ngzU
Node Groups for Blender 3D Compositor - Blender 2.57 - Linux|n10zIvwSvOM
Nokia N900 - Accelerometer.ogv|tGoUOKLGNbE
Nokia N900 - Change Startup Video|mrA3iqjiyss
Nokia N900 - Fix audio for Video Editing|TAR7-acHDdI
Nokia N900 - Remote Music Player|m8YZxKNR1dc
Nokia N900 - VNC Client|3jMNUtA7m2U
Nokia N900 - ssh with X tunneling|OkU48ojFIs4
Nokia N900 3D globe - PyGame|SyiQzs9XVec
Nokia N900 Adding Repositories|2i7SBHV9Rqg
Nokia N900 Rifle Python Script with PyGame|DglT-_5nnXg
Nokia N900 Tips and Tricks Part 1 - Phone Tricks|rYEW_Szq0MA
Nokia N900 Tips and Tricks Part 2 - Phone Tricks|h9Elrqerukc
Nokia N900 image shooting Python Script with PyGame|b3iEx552afA
Numbering Files with Leading Zeros   Linux BASH Shell Script Tutorial|O7-0sJJn0Zo
ORECCA - Original Music By Kris Occhipinti|Dy0NHr7p6K8
October Voting   2D 3D Game Design and Blender 3D   2014|CdFedj4SAlU
Oids - Original Music By Kris Occhipinti|ZV-5NJWZF1k
Oil - Orignal by Kris Occhipinti|GRoSVcdl3mM
Old School - Adding to the Noise|UNpTK1KQGjo
Old School - Bring Sally Up|DRmdwJrQlhY
Old School - Explosions|b-NQhCO50BA
Old School - Falling Boxes|9Qdg4UrQD-4
Old School - Jacks Magic|buy5TGiDuTc
Old School - Scavenger Hunt Part1|hoxz6FFpyMQ
Old School - TS/UMBRA|VaAlOEqYdSU
Old School - TS/UMBRA|cSflrqHMJ-Y
Old School Car Stuck|PNhbNjMkVPM
Old School Kung Fu Fighting|FF-lnrzEtG4
Old School Waffle House 1|I_Oz4q2CQRo
Old School Waffle House 2|JSUDlpBUQmI
On The Trail - Original Music By Kris Occhipinti|a_MsdiU0_-k
On the Wing - How to Destroy Angels remix By Kris Occhipinti|ZeAvCQPmeBM
Onscreen Video with Mplayer for Screen Casting|XpCEi6cabo8
Oratories - Original Music By Kris Occhipinti|Ji2wvtsZFaI
Our First Python Script in Blender 2.5 - Blender 3D.avi|REtg8iK0zv8
PHP  - 10 - HTML Form Submit - Linux - tutorial|0tUTr_CYnTA
PHP  - 12 - Strip HTML Tags - Linux - tutorial - strip tags|3HGKQewWVjg
PHP  Get Form Submit - Linux - tutorial|HqzQhpRg5iw
PHP - 11 - POST Form Submit - Linux - tutorial|g0HwLlc1jKs
PHP - 9 - Get Form Submit - Linux - tutorial|HqzQhpRg5iw
PHP Tutorial #1- Read File Line By Line|rpuFUxxS-tw
PHP Tutorial #2 - Sort Text Files|F_bqJh6o3UI
PHP Tutorial - 3 - Shuffle Text Files|EMFQ8Ans4Mg
PHP Tutorial - 4 - Search Through a Text File - Grep|e9oEwiBMvGo
PHP Tutorial - 5 - List Files in a Folder - Directory|V3UazvF-zF4
PHP Tutorial - 6 - Spliting Strings|b1COfwGwk_4
PHP Tutorial - 7 - Exploding Strings|QhrrdikuZTM
PHP Tutorial - 8 - Reading CSV Files - Explode Split Cut|mrPdafVI4_0
POP - First 100 Backers|NEA3muLOnvE
POP - Movable Cannon|hcVYoilMaos
POP - Tshirts and Posters April Update|xWtx83lS56k
POP - Tutorial - 0.2.1|nBiqR-EnuwI
